Date	L	M	S	SD	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
2019-10-17 12:00	1	33.8787	0.03496	1.1844	30.2	31.1	31.7	31.9	32.4	32.7	33.1	33.9	34.7	35.1	35.4	35.8	36.1	36.6	37.5
2019-11-17 12:00	1	36.5463	0.0321	1.17314	32.9	33.8	34.3	34.6	35	35.3	35.8	36.5	37.3	37.8	38	38.5	38.8	39.3	40.2
2019-12-17 12:00	1	38.2521	0.03168	1.21183	34.5	35.4	36	36.3	36.7	37	37.4	38.3	39.1	39.5	39.8	40.2	40.5	41.1	42
2020-01-17 12:00	1	39.5328	0.0314	1.24133	35.7	36.6	37.2	37.5	37.9	38.2	38.7	39.5	40.4	40.8	41.1	41.6	41.9	42.4	43.4
2020-02-17 12:00	1	40.5817	0.03119	1.26574	36.7	37.6	38.2	38.5	39	39.3	39.7	40.6	41.4	41.9	42.2	42.7	43	43.5	44.5
2020-03-17 12:00	1	41.459	0.03102	1.28606	37.5	38.5	39	39.3	39.8	40.1	40.6	41.5	42.3	42.8	43.1	43.6	43.9	44.5	45.4
2020-04-17 12:00	1	42.1995	0.03087	1.3027	38.2	39.2	39.7	40.1	40.5	40.8	41.3	42.2	43.1	43.5	43.9	44.3	44.6	45.2	46.2
2020-05-17 12:00	1	42.829	0.03075	1.31699	38.8	39.8	40.4	40.7	41.1	41.5	41.9	42.8	43.7	44.2	44.5	45	45.3	45.9	46.9
2020-06-17 12:00	1	43.3671	0.03063	1.32833	39.3	40.3	40.9	41.2	41.7	42	42.5	43.4	44.3	44.7	45.1	45.6	45.9	46.5	47.5
2020-07-17 12:00	1	43.83	0.03053	1.33813	39.7	40.7	41.3	41.6	42.1	42.4	42.9	43.8	44.7	45.2	45.5	46	46.3	46.9	48
2020-08-17 12:00	1	44.2319	0.03044	1.34642	40.1	41.1	41.7	42	42.5	42.8	43.3	44.2	45.1	45.6	46	46.4	46.8	47.4	48.4
2020-09-17 12:00	1	44.5844	0.03035	1.35314	40.4	41.4	42	42.4	42.9	43.2	43.7	44.6	45.5	46	46.3	46.8	47.1	47.7	48.8
2020-10-17 12:00	1	44.8965	0.03027	1.35902	40.7	41.7	42.3	42.7	43.2	43.5	44	44.9	45.8	46.3	46.6	47.1	47.5	48.1	49.1
2020-11-17 12:00	1	45.1752	0.03019	1.36384	41	42	42.6	42.9	43.4	43.8	44.3	45.2	46.1	46.6	46.9	47.4	47.7	48.3	49.4
2020-12-17 12:00	1	45.4265	0.03012	1.36825	41.2	42.2	42.9	43.2	43.7	44	44.5	45.4	46.3	46.8	47.2	47.7	48	48.6	49.7
2021-01-17 12:00	1	45.6551	0.03006	1.37239	41.4	42.5	43.1	43.4	43.9	44.2	44.7	45.7	46.6	47.1	47.4	47.9	48.2	48.8	49.9
2021-02-17 12:00	1	45.865	0.02999	1.37549	41.6	42.7	43.3	43.6	44.1	44.4	44.9	45.9	46.8	47.3	47.6	48.1	48.5	49.1	50.1
2021-03-17 12:00	1	46.0598	0.02993	1.37857	41.8	42.9	43.5	43.8	44.3	44.6	45.1	46.1	47	47.5	47.8	48.3	48.7	49.3	50.3
2021-04-17 12:00	1	46.2424	0.02987	1.38126	42	43	43.6	44	44.5	44.8	45.3	46.2	47.2	47.7	48	48.5	48.8	49.5	50.5
2021-05-17 12:00	1	46.4152	0.02982	1.3841	42.1	43.2	43.8	44.1	44.6	45	45.5	46.4	47.3	47.8	48.2	48.7	49	49.6	50.7
2021-06-17 12:00	1	46.5801	0.02977	1.38669	42.3	43.4	44	44.3	44.8	45.1	45.6	46.6	47.5	48	48.4	48.9	49.2	49.8	50.9
2021-07-17 12:00	1	46.7384	0.02972	1.38907	42.4	43.5	44.1	44.5	45	45.3	45.8	46.7	47.7	48.2	48.5	49	49.4	50	51
2021-08-17 12:00	1	46.8913	0.02967	1.39126	42.6	43.7	44.3	44.6	45.1	45.4	46	46.9	47.8	48.3	48.7	49.2	49.5	50.1	51.2
2021-09-17 12:00	1	47.0391	0.02962	1.3933	42.7	43.8	44.4	44.7	45.3	45.6	46.1	47	48	48.5	48.8	49.3	49.7	50.3	51.3
